,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,statistical_murder_flag,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,perp_age_group,perp_sex,perp_race
0,73702376,2010-07-16T00:00:00.000,01:03:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,1009904.750000000000000,180751.468750000000000,40.662768790000030,-73.907530424999948,"{'type': 'Point', 'coordinates': [-73.90753042499995, 40.66276879000003]}",row-dz7z~druc-z3f8,rv-5mwn_8n85-ecn9,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,17,46,17614,55,,,
1,73711070,2010-07-16T00:00:00.000,21:09:00,BRONX,46,0,,False,18-24,F,BLACK HISPANIC,1009580.625000000000000,248398.390625000000000,40.848443159000055,-73.908443871999964,"{'type': 'Point', 'coordinates': [-73.90844387199996, 40.848443159000055]}",row-6b3s~wdwk~g2kr,rv-gpnt-vasc.5ey5,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,29,29,10931,6,<18,M,BLACK HISPANIC
2,73719656,2010-07-16T00:00:00.000,20:30:00,BROOKLYN,67,0,SMALL MERCHANT,False,<18,M,BLACK,1002230.000000000000000,176647.000000000000000,40.651521835000040,-73.935204533999979,"{'type': 'Point', 'coordinates': [-73.93520453399998, 40.65152183500004]}",row-8hx6~fhua_9p6n,rv-3c52_wvs8~tkau,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,17,40,16866,61,18-24,M,BLACK
3,73693319,2010-07-15T00:00:00.000,22:21:00,BROOKLYN,83,0,,False,45-64,M,BLACK,1006932.875000000000000,191267.906250000000000,40.691642140000056,-73.918206971999950,"{'type': 'Point', 'coordinates': [-73.91820697199995, 40.691642140000056]}",row-7hv9-hmxv~im8w,rv-fxkz.cj4p.pkbx,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,53,18181,42,,,
4,73702377,2010-07-15T00:00:00.000,23:39:00,BRONX,41,0,,False,18-24,M,BLACK HISPANIC,1013350.500000000000000,239897.968750000000000,40.825100356000064,-73.894854543999941,"{'type': 'Point', 'coordinates': [-73.89485454399994, 40.825100356000064]}",row-4u56-qu6t.rfst,rv-yr8n_qx8p-4vap,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,24,10937,8,,,
5,73702374,2010-07-15T00:00:00.000,22:31:00,BRONX,52,0,,True,25-44,M,WHITE HISPANIC,1018224.000000000000000,259605.000000000000000,40.879172861000029,-73.877145605999942,"{'type': 'Point', 'coordinates': [-73.87714560599994, 40.87917286100003]}",row-qz6c.yzt3~fn38,rv-39ya.gv3x_ruqa,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,40,34,11605,24,,,
6,73702377,2010-07-15T00:00:00.000,23:39:00,BRONX,41,0,,False,18-24,M,BLACK,1013350.500000000000000,239897.968750000000000,40.825100356000064,-73.894854543999941,"{'type': 'Point', 'coordinates': [-73.89485454399994, 40.825100356000064]}",row-cndh_7esi~5wru,rv-v4e7-m2yv_ijzv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,24,10937,8,,,
7,73702375,2010-07-15T00:00:00.000,23:34:00,BROOKLYN,75,0,,False,<18,F,WHITE HISPANIC,1014351.500000000000000,186040.609375000000000,40.677272290000076,-73.891478775999985,"{'type': 'Point', 'coordinates': [-73.89147877599999, 40.677272290000076]}",row-rmhq.63ax-q4yc,rv-rhyx_feeu~kfjm,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,47,17214,45,,,
8,73702375,2010-07-15T00:00:00.000,23:34:00,BROOKLYN,75,0,,False,25-44,M,BLACK,1014351.500000000000000,186040.609375000000000,40.677272290000076,-73.891478775999985,"{'type': 'Point', 'coordinates': [-73.89147877599999, 40.677272290000076]}",row-9g4m~sthw_d4zd,rv-xxpj_w37b_txm2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,47,17214,45,,,
9,73708063,2010-07-15T00:00:00.000,21:00:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,False,25-44,F,BLACK,982795.062500000000000,185469.171875000000000,40.675754878000077,-74.005246699999987,"{'type': 'Point', 'coordinates': [-74.00524669999999, 40.67575487800008]}",row-24ue_45q8_6trp,rv-8tns-xnpg~pj6d,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,7,48,13514,14,,,
