,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc
0,35585563,2007-11-10T00:00:00.000,00:13:00,BRONX,44,0,False,<18,M,BLACK,25-44,M,BLACK,1009320.437500000000000,244793.968750000000000,40.838550823000048,-73.909397793999972,"{'type': 'Point', 'coordinates': [-73.90939779399997, 40.83855082300005]}",row-xyr7.btrd-38ij,rv-jedz.cumw.5ipp,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,27,10935,50,
1,35603461,2007-11-10T00:00:00.000,05:12:00,BROOKLYN,90,0,False,,,,25-44,M,BLACK HISPANIC,997697.437500000000000,196544.781250000000000,40.706144782000081,-73.951499424999952,"{'type': 'Point', 'coordinates': [-73.95149942499995, 40.70614478200008]}",row-vsxe_7fgj.kr4x,rv-dt5b-6tnk.rthe,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17613,36,RESTAURANT/DINER
2,35604738,2007-11-10T00:00:00.000,21:13:00,BRONX,47,0,False,UNKNOWN,U,UNKNOWN,25-44,M,BLACK,1026387.000000000000000,262634.000000000000000,40.887451313000042,-73.847607786999959,"{'type': 'Point', 'coordinates': [-73.84760778699996, 40.88745131300004]}",row-vhbc_mb9f~y7xg,rv-j2zn-w3nd-f6t8,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,2,30,11275,29,
3,35585563,2007-11-10T00:00:00.000,00:13:00,BRONX,44,0,False,<18,M,BLACK,18-24,M,BLACK HISPANIC,1009320.437500000000000,244793.968750000000000,40.838550823000048,-73.909397793999972,"{'type': 'Point', 'coordinates': [-73.90939779399997, 40.83855082300005]}",row-snr8_hczq-45d2,rv-efrb-r2y4-t2fz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,27,10935,50,
4,35604773,2007-11-10T00:00:00.000,20:33:00,BROOKLYN,75,0,False,<18,M,BLACK HISPANIC,<18,M,BLACK,1016772.500000000000000,187020.750000000000000,40.679953989000069,-73.882745807999981,"{'type': 'Point', 'coordinates': [-73.88274580799998, 40.67995398900007]}",row-237j-f6mm~djde,rv-grm3_9m9q.d2n7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,37,47,17215,45,
5,35642374,2007-11-10T00:00:00.000,22:38:00,MANHATTAN,34,0,False,UNKNOWN,U,UNKNOWN,<18,M,BLACK HISPANIC,1003905.312500000000000,250644.687500000000000,40.854623033000053,-73.928950701999952,"{'type': 'Point', 'coordinates': [-73.92895070199995, 40.85462303300005]}",row-sjth-5xaa~7c3t,rv-z6sm_57cj-49kw,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,22,13098,47,MULTI DWELL - APT BUILD
6,35603461,2007-11-10T00:00:00.000,05:12:00,BROOKLYN,90,0,True,,,,25-44,M,BLACK HISPANIC,997697.437500000000000,196544.781250000000000,40.706144782000081,-73.951499424999952,"{'type': 'Point', 'coordinates': [-73.95149942499995, 40.70614478200008]}",row-xmyw_mnpt~xyeb,rv-i47i-9r6b_yass,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,30,56,17613,36,RESTAURANT/DINER
7,35585437,2007-11-09T00:00:00.000,22:46:00,MANHATTAN,28,0,True,45-64,M,BLACK,25-44,F,BLACK,997439.500000000000000,233857.265625000000000,40.808558408000067,-73.952356558999952,"{'type': 'Point', 'coordinates': [-73.95235655899995, 40.80855840800007]}",row-imcf-izic~3b3n,rv-5zca_m4kc~d9wz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,18,12424,18,MULTI DWELL - APT BUILD
8,35585326,2007-11-09T00:00:00.000,22:02:00,QUEENS,100,0,False,,,,18-24,M,BLACK,1040051.000000000000000,155268.000000000000000,40.592683539000063,-73.799081018999971,"{'type': 'Point', 'coordinates': [-73.79908101899997, 40.59268353900006]}",row-3rms.fjc4_6c4f,rv-xy9f.8sk2~2xvd,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,47,58,20530,51,CANDY STORE
9,35585437,2007-11-09T00:00:00.000,22:46:00,MANHATTAN,28,0,True,45-64,M,BLACK,45-64,M,BLACK,997439.500000000000000,233857.265625000000000,40.808558408000067,-73.952356558999952,"{'type': 'Point', 'coordinates': [-73.95235655899995, 40.80855840800007]}",row-86ft_xdmw-2vcs,rv-8z69~yyd9-ney9,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,18,12424,18,MULTI DWELL - APT BUILD
10,35585284,2007-11-09T00:00:00.000,15:59:00,BRONX,47,2,True,<18,M,BLACK,25-44,M,BLACK,1026242.062500000000000,262090.906250000000000,40.885961384000041,-73.848135374999970,"{'type': 'Point', 'coordinates': [-73.84813537499997, 40.88596138400004]}",row-6rax.m9fw~9mu3,rv-bygh.qjum-5a33,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,2,30,11275,29,MULTI DWELL - APT BUILD
11,35585291,2007-11-09T00:00:00.000,17:56:00,BRONX,47,0,False,UNKNOWN,M,BLACK,25-44,M,BLACK HISPANIC,1026387.000000000000000,262634.000000000000000,40.887451313000042,-73.847607786999959,"{'type': 'Point', 'coordinates': [-73.84760778699996, 40.88745131300004]}",row-ja5b-rtsb.9tfw,rv-pcv8~u4mg~889j,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,5,2,30,11275,29,
12,35585102,2007-11-09T00:00:00.000,06:11:00,BROOKLYN,67,0,False,UNKNOWN,M,BLACK,18-24,M,BLACK,998032.000000000000000,175598.000000000000000,40.648650085000043,-73.950335562999953,"{'type': 'Point', 'coordinates': [-73.95033556299995, 40.64865008500004]}",row-ub8x-2dss~wemx,rv-6pqv.uu6h.4j5c,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,11,40,13510,61,MULTI DWELL - APT BUILD
13,35585277,2007-11-09T00:00:00.000,14:47:00,BROOKLYN,81,0,False,UNKNOWN,M,UNKNOWN,<18,M,BLACK,1004040.375000000000000,187344.406250000000000,40.680879973000060,-73.928648847999966,"{'type': 'Point', 'coordinates': [-73.92864884799997, 40.68087997300006]}",row-grgm_22e8.bab6,rv-x64g~4a7b-qkrr,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,49,52,13516,69,
14,35565367,2007-11-08T00:00:00.000,23:09:00,BRONX,46,0,False,UNKNOWN,M,UNKNOWN,18-24,M,BLACK,1012809.937500000000000,251689.843750000000000,40.857467361000033,-73.896757504999982,"{'type': 'Point', 'coordinates': [-73.89675750499998, 40.85746736100003]}",row-mw2y~d5vm.vc79,rv-5fmv-zpv5_pttd,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,29,10936,6,RESTAURANT/DINER
15,35565367,2007-11-08T00:00:00.000,23:09:00,BRONX,46,0,False,UNKNOWN,M,UNKNOWN,<18,M,WHITE HISPANIC,1012809.937500000000000,251689.843750000000000,40.857467361000033,-73.896757504999982,"{'type': 'Point', 'coordinates': [-73.89675750499998, 40.85746736100003]}",row-n42n~9649.a5pr,rv-jue4-ncgt~xas7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,29,10936,6,RESTAURANT/DINER
16,35565366,2007-11-08T00:00:00.000,18:25:00,BROOKLYN,79,2,True,,,,25-44,M,BLACK,999880.250000000000000,190399.359375000000000,40.689273444000037,-73.943640751999965,"{'type': 'Point', 'coordinates': [-73.94364075199996, 40.68927344400004]}",row-q9c7-qvyi_dm77,rv-tnm4-w7vx-zpyv,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,49,51,18181,69,MULTI DWELL - PUBLIC HOUS
17,35552370,2007-11-07T00:00:00.000,16:34:00,BRONX,50,0,False,<18,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1009118.875000000000000,257822.578125000000000,40.874311018000071,-73.910077898999987,"{'type': 'Point', 'coordinates': [-73.91007789899999, 40.87431101800007]}",row-zjju~r73e_xenj,rv-xqye-c3ga-pzvi,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,39,33,11272,24,FAST FOOD
18,35552370,2007-11-07T00:00:00.000,16:34:00,BRONX,50,0,False,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1009118.875000000000000,257822.578125000000000,40.874311018000071,-73.910077898999987,"{'type': 'Point', 'coordinates': [-73.91007789899999, 40.87431101800007]}",row-ju7q_iiuv~pc2y,rv-jjyq~ag6j.ic5c,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,4,39,33,11272,24,FAST FOOD
19,35532833,2007-11-06T00:00:00.000,12:57:00,BROOKLYN,77,0,False,UNKNOWN,U,UNKNOWN,18-24,M,BLACK,1004579.750000000000000,183837.671875000000000,40.671253557000057,-73.926714753999988,"{'type': 'Point', 'coordinates': [-73.92671475399999, 40.67125355700006]}",row-wcbu-bsvu~9s3u,rv-cxa7.aqxi-s8df,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,49,17615,16,
20,35552368,2007-11-06T00:00:00.000,18:47:00,BROOKLYN,79,0,True,,,,<18,M,BLACK,999069.937500000000000,193133.468750000000000,40.696779336000077,-73.946556619999967,"{'type': 'Point', 'coordinates': [-73.94655661999997, 40.69677933600008]}",row-mc6u.xzf7-pzp2,rv-4fhz~398n-w3xf,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,51,17213,69,MULTI DWELL - PUBLIC HOUS
21,35552367,2007-11-06T00:00:00.000,20:21:00,QUEENS,105,0,False,UNKNOWN,M,BLACK,<18,M,BLACK,1045409.062500000000000,181636.437500000000000,40.665023773000030,-73.779549599999939,"{'type': 'Point', 'coordinates': [-73.77954959999994, 40.66502377300003]}",row-qjsf~iz5s-h8i4,rv-mjrb~gr9e.7fgi,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,47,63,24669,63,PVT HOUSE
22,35552366,2007-11-06T00:00:00.000,20:04:00,BRONX,44,0,True,25-44,M,BLACK,18-24,M,BLACK,1006686.812500000000000,239754.937500000000000,40.824727216000042,-73.918932466999934,"{'type': 'Point', 'coordinates': [-73.91893246699993, 40.82472721600004]}",row-jvfj~j8p8-akvv,rv-6wht_f888-qbam,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,42,27,10929,50,MULTI DWELL - APT BUILD
23,35552369,2007-11-06T00:00:00.000,15:30:00,QUEENS,113,0,False,18-24,M,BLACK,18-24,M,BLACK,1048429.375000000000000,185283.515625000000000,40.675012776000074,-73.768628012999955,"{'type': 'Point', 'coordinates': [-73.76862801299995, 40.675012776000074]}",row-npqt_d6yt_7bhj,rv-vezv_pc9x-4xw7,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,3,46,71,24669,41,
