,incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,statistical_murder_flag,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,location_desc,perp_age_group,perp_sex,perp_race
0,32272870,2007-06-15T00:00:00.000,02:56:00,QUEENS,106,0,False,25-44,M,WHITE,1028088.875000000000000,176204.562500000000000,40.650217187000067,-73.842016498999953,"{'type': 'Point', 'coordinates': [-73.84201649899995, 40.65021718700007]}",row-2zyi_fdiy~98b5,rv-i2bq~ztjd_sxu4,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,41,64,15314,62,,,,
1,32272871,2007-06-15T00:00:00.000,03:35:00,BROOKLYN,63,0,False,18-24,M,BLACK,1001745.000000000000000,166158.984375000000000,40.622735441000032,-73.936979583999971,"{'type': 'Point', 'coordinates': [-73.93697958399997, 40.62273544100003]}",row-6e5t-9u9w_37mk,rv-xzij~xh8j~f4fg,2024-04-23T13:36:19.239Z,2024-04-23T13:36:34.986Z,2,26,38,13825,5,BAR/NIGHT CLUB,UNKNOWN,M,BLACK
2,32272872,2007-06-14T00:00:00.000,11:30:00,BRONX,40,0,False,45-64,F,BLACK HISPANIC,1004839.750000000000000,234488.203125000000000,40.810276010000052,-73.925622450999981,"{'type': 'Point', 'coordinates': [-73.92562245099998, 40.81027601000005]}",row-3z47.r26j_7kr8,rv-8jf8.knf5.p2mi,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10932,49,,25-44,M,BLACK
3,32212098,2007-06-13T00:00:00.000,11:23:00,BRONX,48,0,False,45-64,M,BLACK,1014999.625000000000000,247315.812500000000000,40.845454595000035,-73.888861871999950,"{'type': 'Point', 'coordinates': [-73.88886187199995, 40.845454595000035]}",row-c4x4-tuy6~wyyf,rv-45yk_kn5r_fs2d,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,43,31,10935,35,,UNKNOWN,U,UNKNOWN
4,32178482,2007-06-12T00:00:00.000,01:37:00,BRONX,48,0,False,25-44,M,BLACK,1016057.875000000000000,247615.328125000000000,40.846272928000076,-73.885035579999965,"{'type': 'Point', 'coordinates': [-73.88503557999996, 40.846272928000076]}",row-29wg_s4md-mtfr,rv-9z9v-3zfk_siif,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,22,31,11269,35,,UNKNOWN,M,UNKNOWN
5,32178480,2007-06-12T00:00:00.000,00:38:00,BRONX,47,0,False,25-44,M,WHITE HISPANIC,1026071.875000000000000,259029.531250000000000,40.877559682000026,-73.848769978999940,"{'type': 'Point', 'coordinates': [-73.84876997899994, 40.877559682000026]}",row-78mv-t4a9.puid,rv-mc9w_qsnw-gpnb,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,2,30,11607,29,,65+,M,BLACK
6,32212097,2007-06-12T00:00:00.000,23:40:00,BROOKLYN,67,0,False,<18,M,BLACK,999390.187500000000000,172259.296875000000000,40.639483847000065,-73.945448586999987,"{'type': 'Point', 'coordinates': [-73.94544858699999, 40.639483847000065]}",row-59cc~7q5c~ckpg,rv-exmt~xic6.6mfy,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,17217,61,,25-44,M,BLACK
7,32212097,2007-06-12T00:00:00.000,23:40:00,BROOKLYN,67,0,False,18-24,M,BLACK,999390.187500000000000,172259.296875000000000,40.639483847000065,-73.945448586999987,"{'type': 'Point', 'coordinates': [-73.94544858699999, 40.639483847000065]}",row-p4i3-2dn6_eu24,rv-zixb-jzmd.ursx,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,17217,61,,25-44,M,BLACK
8,32212097,2007-06-12T00:00:00.000,23:40:00,BROOKLYN,67,0,False,<18,M,BLACK,999390.187500000000000,172259.296875000000000,40.639483847000065,-73.945448586999987,"{'type': 'Point', 'coordinates': [-73.94544858699999, 40.639483847000065]}",row-kr3c.msh8_wue4,rv-h9kd-nigw-t63j,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,17217,61,,UNKNOWN,M,BLACK
9,32212097,2007-06-12T00:00:00.000,23:40:00,BROOKLYN,67,0,False,18-24,M,BLACK,999390.187500000000000,172259.296875000000000,40.639483847000065,-73.945448586999987,"{'type': 'Point', 'coordinates': [-73.94544858699999, 40.639483847000065]}",row-4sbt~k2dd-3zge,rv-pds4_7auv.5z6z,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,26,40,17217,61,,UNKNOWN,M,BLACK
