,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,location_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,:id,:version,:created_at,:updated_at,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer
0,240321243,2022-02-08T00:00:00.000,06:47:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),False,25-44,M,BLACK,45-64,M,BLACK,997407,233806,40.8084177460021,-73.9524740603515,"{'type': 'Point', 'coordinates': [-73.9524740603515, 40.8084177460021]}",row-ici3_2apq.aigm,rv-zx3v~7kx8-z46a,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,4,36,18,12424,18
1,240254036,2022-02-07T00:00:00.000,16:10:00,BRONX,OUTSIDE,40,0,STREET,(null),True,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1008035,232384,40.804487,-73.914084,"{'type': 'Point', 'coordinates': [-73.914084, 40.804487]}",row-4atd_pznc_gya3,rv-sej5.wd7i-jxye,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10932,49
2,240212364,2022-02-07T00:00:00.000,00:01:00,BRONX,OUTSIDE,52,0,STREET,MULTI DWELL - APT BUILD,True,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1009868,253125,40.86141,-73.907384,"{'type': 'Point', 'coordinates': [-73.907384, 40.86141]}",row-e9be~gz4j_wwfq,rv-kuas.wtrc_2az2,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,29,34,11606,24
3,240256033,2022-02-07T00:00:00.000,23:24:00,QUEENS,OUTSIDE,113,0,STREET,BAR/NIGHT CLUB,True,(null),(null),(null),25-44,M,BLACK,1051553,191868,40.693055,-73.757298,"{'type': 'Point', 'coordinates': [-73.757298, 40.693055]}",row-2w5k_8pic-6psh,rv-zwrx_vdg3~hjgr,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,3,6,71,15312,41
4,240254036,2022-02-07T00:00:00.000,16:10:00,BRONX,OUTSIDE,40,0,STREET,(null),False,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1008035,232384,40.804487,-73.914084,"{'type': 'Point', 'coordinates': [-73.914084, 40.804487]}",row-f32n_uxiv_xje4,rv-tsh7_yj7t-xvup,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10932,49
5,240212364,2022-02-07T00:00:00.000,00:01:00,BRONX,OUTSIDE,52,0,STREET,MULTI DWELL - APT BUILD,True,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1009868,253125,40.86141,-73.907384,"{'type': 'Point', 'coordinates': [-73.907384, 40.86141]}",row-9uzp_spu7~yp2v,rv-z9xu-zv79~hpaz,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,29,34,11606,24
6,240254035,2022-02-07T00:00:00.000,21:55:00,BRONX,OUTSIDE,52,0,STREET,(null),True,(null),(null),(null),25-44,M,WHITE HISPANIC,1009887,255397,40.867644,-73.907306,"{'type': 'Point', 'coordinates': [-73.907306, 40.867644]}",row-8b2d_y4yi_fwks,rv-3pt2_3jax.kkj6,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,29,34,11606,24
7,240254036,2022-02-07T00:00:00.000,16:10:00,BRONX,OUTSIDE,40,0,STREET,(null),True,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1008035,232384,40.804487,-73.914084,"{'type': 'Point', 'coordinates': [-73.914084, 40.804487]}",row-pskm~c2zr~pxni,rv-jcwj_v2zd-nf3s,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10932,49
8,240254036,2022-02-07T00:00:00.000,16:10:00,BRONX,OUTSIDE,40,0,STREET,(null),False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1008035,232384,40.804487,-73.914084,"{'type': 'Point', 'coordinates': [-73.914084, 40.804487]}",row-8jrd_y3bb.tg3s,rv-qug8_kgsd_5bbr,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,5,35,23,10932,49
9,240174757,2022-02-06T00:00:00.000,02:18:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),True,(null),(null),(null),18-24,M,BLACK,1001463,190640,40.689924,-73.937928,"{'type': 'Point', 'coordinates': [-73.937928, 40.689924]}",row-xnmy~zwg4-jvas,rv-dprj.yec5.udwj,2024-04-23T13:36:19.239Z,2024-04-23T13:36:30.560Z,2,49,52,18181,69
